ID,GENERO,EDAD,N,AC_X,ACTIVIDAD
6,0,1,10,0.1551666259765625,1
6,0,1,11,0.1312255859375,1
6,0,1,12,0.1551666259765625,1
6,0,1,13,0.1455841064453125,1
6,0,1,14,0.14080810546875,1
6,0,1,15,0.14080810546875,1
7,0,1,0,-1.1185455322265625,1
7,0,1,1,-0.8216705322265625,1
7,0,1,2,-0.7977294921875,1
7,0,1,3,-0.931793212890625,1
7,0,1,4,-0.9126434326171875,1
7,0,1,5,-0.9126434326171875,1
7,0,1,6,-0.931793212890625,1
7,0,1,7,-0.8695526123046875,1
7,0,1,8,-0.8599700927734375,1
7,0,1,9,-0.8791351318359375,1
7,0,1,10,-0.931793212890625,1
7,0,1,11,-0.9270172119140625,1
7,0,1,12,-0.8599700927734375,1
7,0,1,13,-0.8647613525390625,1
7,0,1,14,-0.8791351318359375,1
7,0,1,15,-0.9605255126953125,1
8,0,1,0,-0.8599700927734375,1
8,0,1,1,-0.8647613525390625,1
8,0,1,2,-0.8791351318359375,1
8,0,1,3,-0.9605255126953125,1
8,0,1,4,-0.950958251953125,1
8,0,1,5,-0.898284912109375,1
8,0,1,6,-0.8599700927734375,1
8,0,1,7,-0.93658447265625,1
8,0,1,8,-0.93658447265625,1
8,0,1,9,-0.931793212890625,1
8,0,1,10,-0.9126434326171875,1
8,0,1,11,-0.8743438720703125,1
8,0,1,12,-0.89349365234375,1
8,0,1,13,-0.8839111328125,1
8,0,1,14,-0.903076171875,1
8,0,1,15,-0.8839111328125,1
9,0,1,0,-0.89349365234375,1
9,0,1,1,-0.8839111328125,1
9,0,1,2,-0.903076171875,1
9,0,1,3,-0.8839111328125,1
9,0,1,4,-0.8647613525390625,1
9,0,1,5,-0.8599700927734375,1
9,0,1,6,-0.9701080322265625,1
9,0,1,7,-0.903076171875,1
9,0,1,8,-0.8599700927734375,1
9,0,1,9,-0.8791351318359375,1
9,0,1,10,-0.898284912109375,1
9,0,1,11,-0.898284912109375,1
9,0,1,12,-0.888702392578125,1
9,0,1,13,-0.8791351318359375,1
9,0,1,14,-0.8695526123046875,1
9,0,1,15,-0.9653167724609375,1
10,0,1,0,-0.6157684326171875,1
10,0,1,1,-0.697174072265625,1
10,0,1,2,-0.6588592529296875,1
10,0,1,3,-0.63970947265625,1
10,0,1,4,-0.6157684326171875,1
10,0,1,5,-0.697174072265625,1
10,0,1,6,-0.7019500732421875,1
10,0,1,7,-0.644500732421875,1
10,0,1,8,-0.6540679931640625,1
10,0,1,9,-0.630126953125,1
10,0,1,10,-0.63970947265625,1
10,0,1,11,-0.630126953125,1
10,0,1,12,-0.687591552734375,1
10,0,1,13,-0.625335693359375,1
10,0,1,14,-0.6540679931640625,1
10,0,1,15,-0.678009033203125,1
11,0,1,0,-0.687591552734375,1
11,0,1,1,-0.625335693359375,1
11,0,1,2,-0.6540679931640625,1
11,0,1,3,-0.678009033203125,1
11,0,1,4,-0.6061859130859375,1
11,0,1,5,-0.68280029296875,1
11,0,1,6,-0.63970947265625,1
11,0,1,7,-0.625335693359375,1
11,0,1,8,-0.6109771728515625,1
11,0,1,9,-0.572662353515625,1
11,0,1,10,-0.678009033203125,1
11,0,1,11,-0.7067413330078125,1
11,0,1,12,-0.5870361328125,1
11,0,1,13,-0.6492767333984375,1
11,0,1,14,-0.6061859130859375,1
