ID,GENERO,EDAD,N,AC_Y,ACTIVIDAD
6,0,2,6,-28.322717666625977,1
6,0,2,7,64.07941436767578,1
6,0,2,8,-22.235027313232422,1
6,0,2,9,-44.8199348449707,1
6,0,2,10,-44.8199348449707,1
6,0,2,11,37.279701232910156,1
6,0,2,12,24.344913482666016,1
6,0,2,13,-61.5019645690918,1
6,0,2,14,-61.5019645690918,1
6,0,2,15,-20.171283721923828,1
7,1,2,0,7.927929878234863,1
7,1,2,1,7.90728235244751,1
7,1,2,2,7.846421241760254,1
7,1,2,3,7.719815731048584,1
7,1,2,4,7.498581886291504,1
7,1,2,5,7.498581886291504,1
7,1,2,6,7.349643707275391,1
7,1,2,7,6.6526055335998535,1
7,1,2,8,5.643056869506836,1
7,1,2,9,5.643056869506836,1
7,1,2,10,4.873502731323242,1
7,1,2,11,6.746918201446533,1
7,1,2,12,7.69358491897583,1
7,1,2,13,7.69358491897583,1
7,1,2,14,6.208902359008789,1
7,1,2,15,2.4950549602508545,1
8,1,2,0,7.69358491897583,1
8,1,2,1,7.69358491897583,1
8,1,2,2,6.208902359008789,1
8,1,2,3,2.4950549602508545,1
8,1,2,4,-9.994278907775879,1
8,1,2,5,-10.525993347167969,1
8,1,2,6,-10.525993347167969,1
8,1,2,7,20.253759384155273,1
8,1,2,8,11.874618530273438,1
8,1,2,9,-15.2080078125,1
8,1,2,10,-15.2080078125,1
8,1,2,11,-18.68798065185547,1
8,1,2,12,-2.1067538261413574,1
8,1,2,13,28.7258243560791,1
8,1,2,14,-3.0761470794677734,1
8,1,2,15,-3.0761470794677734,1
9,1,2,0,-2.1067538261413574,1
9,1,2,1,28.7258243560791,1
9,1,2,2,-3.0761470794677734,1
9,1,2,3,-3.0761470794677734,1
9,1,2,4,-35.991336822509766,1
9,1,2,5,-9.046883583068848,1
9,1,2,6,36.86552429199219,1
9,1,2,7,36.86552429199219,1
9,1,2,8,-1.842740535736084,1
9,1,2,9,-41.79962921142578,1
9,1,2,10,-7.976991653442383,1
9,1,2,11,35.05550765991211,1
9,1,2,12,35.05550765991211,1
9,1,2,13,-2.2394981384277344,1
9,1,2,14,-36.71342468261719,1
9,1,2,15,-9.728924751281738,1
10,1,2,0,6.465225696563721,1
10,1,2,1,7.0507707595825195,1
10,1,2,2,7.642847061157227,1
10,1,2,3,7.642847061157227,1
10,1,2,4,5.694943904876709,1
10,1,2,5,2.7593939304351807,1
10,1,2,6,-4.445553779602051,1
10,1,2,7,21.90987777709961,1
10,1,2,8,21.90987777709961,1
10,1,2,9,14.05776596069336,1
10,1,2,10,-23.160531997680664,1
10,1,2,11,-26.712663650512695,1
10,1,2,12,-26.712663650512695,1
10,1,2,13,36.02197265625,1
10,1,2,14,8.724566459655762,1
10,1,2,15,-44.26020050048828,1
11,1,2,0,-26.712663650512695,1
11,1,2,1,36.02197265625,1
11,1,2,2,8.724566459655762,1
11,1,2,3,-44.26020050048828,1
11,1,2,4,-22.498659133911133,1
11,1,2,5,-22.498659133911133,1
11,1,2,6,45.79958724975586,1
11,1,2,7,1.335418701171875,1
11,1,2,8,-52.885196685791016,1
11,1,2,9,-52.885196685791016,1
11,1,2,10,-12.995861053466797,1
11,1,2,11,48.190242767333984,1
11,1,2,12,-14.454083442687988,1
11,1,2,13,-14.454083442687988,1
11,1,2,14,-42.518924713134766,1
11,1,2,15,8.441725730895996,1
12,1,2,0,-14.454083442687988,1
12,1,2,1,-14.454083442687988,1
12,1,2,2,-42.518924713134766,1
12,1,2,3,8.441725730895996,1
12,1,2,4,19.402908325195312,1
12,1,2,5,-21.655534744262695,1
12,1,2,6,-21.655534744262695,1
12,1,2,7,-32.72199630737305,1
12,1,2,8,27.94293975830078,1
12,1,2,9,8.231504440307617,1
12,1,2,10,8.231504440307617,1
12,1,2,11,-38.24938201904297,1
12,1,2,12,-18.16510581970215,1
12,1,2,13,20.590316772460938,1
12,1,2,14,1.2059497833251953,1
12,1,2,15,1.2059497833251953,1
