ID,GENERO,EDAD,N,AC_Z,ACTIVIDAD
6,0,1,1,8.122512817382812,1
6,0,1,2,8.069839477539062,1
6,0,1,3,8.074630737304688,1
6,0,1,4,8.007598876953125,1
6,0,1,5,8.0650634765625,1
6,0,1,6,8.141677856445312,1
6,0,1,7,8.141677856445312,1
6,0,1,8,8.084213256835938,1
6,0,1,9,8.136886596679688,1
6,0,1,10,8.05548095703125,1
6,0,1,11,8.146453857421875,1
6,0,1,12,8.093780517578125,1
6,0,1,13,8.060272216796875,1
6,0,1,14,8.132095336914062,1
6,0,1,15,8.089004516601562,1
7,0,1,0,7.5766448974609375,1
7,0,1,1,9.190338134765625,1
7,0,1,2,7.8735198974609375,1
7,0,1,3,8.079421997070312,1
7,0,1,4,8.62530517578125,1
7,0,1,5,8.8695068359375,1
7,0,1,6,8.644454956054688,1
7,0,1,7,8.438552856445312,1
7,0,1,8,8.567840576171875,1
7,0,1,9,8.558258056640625,1
7,0,1,10,8.491226196289062,1
7,0,1,11,8.500808715820312,1
7,0,1,12,8.4241943359375,1
7,0,1,13,8.46728515625,1
7,0,1,14,8.500808715820312,1
7,0,1,15,8.591781616210938,1
8,0,1,0,8.4241943359375,1
8,0,1,1,8.46728515625,1
8,0,1,2,8.500808715820312,1
8,0,1,3,8.591781616210938,1
8,0,1,4,8.462493896484375,1
8,0,1,5,8.400238037109375,1
8,0,1,6,8.5103759765625,1
8,0,1,7,8.524749755859375,1
8,0,1,8,8.491226196289062,1
8,0,1,9,8.481643676757812,1
8,0,1,10,8.505584716796875,1
8,0,1,11,8.524749755859375,1
8,0,1,12,8.428970336914062,1
8,0,1,13,8.448135375976562,1
8,0,1,14,8.462493896484375,1
8,0,1,15,8.462493896484375,1
9,0,1,0,8.428970336914062,1
9,0,1,1,8.448135375976562,1
9,0,1,2,8.462493896484375,1
9,0,1,3,8.462493896484375,1
9,0,1,4,8.51995849609375,1
9,0,1,5,8.496017456054688,1
9,0,1,6,8.433761596679688,1
9,0,1,7,8.491226196289062,1
9,0,1,8,8.476852416992188,1
9,0,1,9,8.481643676757812,1
9,0,1,10,8.476852416992188,1
9,0,1,11,8.472076416015625,1
9,0,1,12,8.46728515625,1
9,0,1,13,8.46728515625,1
9,0,1,14,8.376296997070312,1
9,0,1,15,8.56304931640625,1
10,0,1,0,8.701919555664062,1
10,0,1,1,8.476852416992188,1
10,0,1,2,8.385879516601562,1
10,0,1,3,8.5103759765625,1
10,0,1,4,8.56304931640625,1
10,0,1,5,8.610931396484375,1
10,0,1,6,8.548690795898438,1
10,0,1,7,8.539108276367188,1
10,0,1,8,8.515167236328125,1
10,0,1,9,8.577423095703125,1
10,0,1,10,8.634872436523438,1
10,0,1,11,8.448135375976562,1
10,0,1,12,8.586990356445312,1
10,0,1,13,8.567840576171875,1
10,0,1,14,8.582199096679688,1
10,0,1,15,8.534317016601562,1
11,0,1,0,8.586990356445312,1
11,0,1,1,8.567840576171875,1
11,0,1,2,8.582199096679688,1
11,0,1,3,8.534317016601562,1
11,0,1,4,8.601364135742188,1
11,0,1,5,8.56304931640625,1
11,0,1,6,8.5103759765625,1
11,0,1,7,8.496017456054688,1
11,0,1,8,8.692337036132812,1
11,0,1,9,8.610931396484375,1
11,0,1,10,8.491226196289062,1
11,0,1,11,8.5726318359375,1
11,0,1,12,8.45770263671875,1
11,0,1,13,8.706695556640625,1
11,0,1,14,8.76416015625,1
11,0,1,15,8.596572875976562,1
12,0,1,0,8.45770263671875,1
12,0,1,1,8.706695556640625,1
12,0,1,2,8.76416015625,1
12,0,1,3,8.596572875976562,1
12,0,1,4,8.51995849609375,1
12,0,1,5,8.716278076171875,1
12,0,1,6,8.5726318359375,1
12,0,1,7,8.577423095703125,1
12,0,1,8,8.524749755859375,1
12,0,1,9,8.505584716796875,1
12,0,1,10,8.481643676757812,1
12,0,1,11,8.634872436523438,1
12,0,1,12,8.745010375976562,1
12,0,1,13,8.543899536132812,1
12,0,1,14,8.419403076171875,1
12,0,1,15,8.505584716796875,1
13,0,1,0,8.543899536132812,1
13,0,1,1,8.81683349609375,1
13,0,1,2,8.347579956054688,1
13,0,1,3,8.558258056640625,1
13,0,1,4,8.725860595703125,1
13,0,1,5,8.6588134765625,1
13,0,1,6,8.5103759765625,1
13,0,1,7,8.56304931640625,1
13,0,1,8,8.692337036132812,1
13,0,1,9,8.553466796875,1
13,0,1,10,8.56304931640625,1
13,0,1,11,8.591781616210938,1
13,0,1,12,8.60614013671875,1
13,0,1,13,8.567840576171875,1
13,0,1,14,8.591781616210938,1
13,0,1,15,8.601364135742188,1
14,0,1,0,8.60614013671875,1
14,0,1,1,8.567840576171875,1
14,0,1,2,8.591781616210938,1
14,0,1,3,8.601364135742188,1
14,0,1,4,8.62530517578125,1
14,0,1,5,8.529525756835938,1
14,0,1,6,8.515167236328125,1
14,0,1,7,8.5726318359375,1
14,0,1,8,8.634872436523438,1
14,0,1,9,8.586990356445312,1
14,0,1,10,8.596572875976562,1
14,0,1,11,8.60614013671875,1
14,0,1,12,8.61572265625,1
14,0,1,13,8.610931396484375,1
14,0,1,14,8.524749755859375,1
14,0,1,15,8.543899536132812,1
15,0,1,0,8.61572265625,1
15,0,1,1,8.610931396484375,1
15,0,1,2,8.524749755859375,1
15,0,1,3,8.543899536132812,1
15,0,1,4,8.500808715820312,1
15,0,1,5,8.62530517578125,1
15,0,1,6,8.596572875976562,1
15,0,1,7,8.548690795898438,1
15,0,1,8,8.37152099609375,1
